user_id,movie_id,rating,feedback_type,timestamp
9999,1,4.0,explicit,2025-07-26T10:24:12.160434
9999,9,2.0,explicit,2025-07-26T10:24:12.175725
9999,15,4.0,explicit,2025-07-26T10:24:12.181002
9999,32,4.0,explicit,2025-07-26T10:24:12.185898
9999,62,2.0,explicit,2025-07-26T10:24:12.190320
9999,98,2.0,explicit,2025-07-26T10:24:12.195197
9999,1,4.0,explicit,2025-07-26T10:38:02.520421
9999,2,5.0,explicit,2025-07-26T10:38:02.534431
9999,32,2.0,explicit,2025-07-26T10:38:02.541003
9999,34,1.0,explicit,2025-07-26T10:38:02.545306
9999,100,5.0,explicit,2025-07-26T10:38:02.549905
9999,34,3.0,explicit,2025-07-26T11:27:52.854635
9999,62,5.0,explicit,2025-07-26T11:27:52.869204
9999,79,4.0,explicit,2025-07-26T11:27:52.874533
9999,121,4.0,explicit,2025-07-26T11:27:52.879833
9999,181,4.0,explicit,2025-07-26T11:27:52.884380
9999,34,3.0,explicit,2025-07-26T11:27:58.626277
9999,62,5.0,explicit,2025-07-26T11:27:58.637547
9999,79,4.0,explicit,2025-07-26T11:27:58.644466
9999,121,4.0,explicit,2025-07-26T11:27:58.650428
9999,181,4.0,explicit,2025-07-26T11:27:58.654707
9999,34,3.0,explicit,2025-07-26T11:27:59.462308
9999,62,5.0,explicit,2025-07-26T11:27:59.472769
9999,79,4.0,explicit,2025-07-26T11:27:59.479155
9999,121,4.0,explicit,2025-07-26T11:27:59.485166
9999,181,4.0,explicit,2025-07-26T11:27:59.492377
9999,34,3.0,explicit,2025-07-26T11:28:00.275212
9999,62,5.0,explicit,2025-07-26T11:28:00.283909
9999,79,4.0,explicit,2025-07-26T11:28:00.291241
9999,121,4.0,explicit,2025-07-26T11:28:00.297123
9999,181,4.0,explicit,2025-07-26T11:28:00.302632
9999,34,3.0,explicit,2025-07-26T11:28:00.824702
9999,62,5.0,explicit,2025-07-26T11:28:00.835985
9999,79,4.0,explicit,2025-07-26T11:28:00.842580
9999,121,4.0,explicit,2025-07-26T11:28:00.848679
9999,181,4.0,explicit,2025-07-26T11:28:00.854832
9999,34,3.0,explicit,2025-07-26T11:28:01.010681
9999,62,5.0,explicit,2025-07-26T11:28:01.019688
9999,79,4.0,explicit,2025-07-26T11:28:01.025978
9999,121,4.0,explicit,2025-07-26T11:28:01.032363
9999,181,4.0,explicit,2025-07-26T11:28:01.037904
9999,34,3.0,explicit,2025-07-26T11:28:01.193399
9999,62,5.0,explicit,2025-07-26T11:28:01.199641
9999,79,4.0,explicit,2025-07-26T11:28:01.204413
9999,121,4.0,explicit,2025-07-26T11:28:01.210008
9999,181,4.0,explicit,2025-07-26T11:28:01.214690
9999,34,3.0,explicit,2025-07-26T11:28:01.372739
9999,62,5.0,explicit,2025-07-26T11:28:01.380365
9999,79,4.0,explicit,2025-07-26T11:28:01.386083
9999,121,4.0,explicit,2025-07-26T11:28:01.391741
9999,181,4.0,explicit,2025-07-26T11:28:01.397401
9999,34,3.0,explicit,2025-07-26T11:28:01.540898
9999,62,5.0,explicit,2025-07-26T11:28:01.546169
9999,79,4.0,explicit,2025-07-26T11:28:01.550109
9999,121,4.0,explicit,2025-07-26T11:28:01.554161
9999,181,4.0,explicit,2025-07-26T11:28:01.558600
9999,34,3.0,explicit,2025-07-26T11:28:01.718305
9999,62,5.0,explicit,2025-07-26T11:28:01.725353
9999,79,4.0,explicit,2025-07-26T11:28:01.730232
9999,121,4.0,explicit,2025-07-26T11:28:01.735398
9999,181,4.0,explicit,2025-07-26T11:28:01.741325
9999,34,3.0,explicit,2025-07-26T11:28:04.979816
9999,62,5.0,explicit,2025-07-26T11:28:04.987427
9999,79,4.0,explicit,2025-07-26T11:28:04.994525
9999,121,4.0,explicit,2025-07-26T11:28:05.001616
9999,181,4.0,explicit,2025-07-26T11:28:05.006920
9999,34,3.0,explicit,2025-07-26T11:28:07.895275
9999,62,5.0,explicit,2025-07-26T11:28:07.901944
9999,79,4.0,explicit,2025-07-26T11:28:07.906875
9999,121,4.0,explicit,2025-07-26T11:28:07.913462
9999,181,4.0,explicit,2025-07-26T11:28:07.917813
9999,21,4.0,explicit,2025-07-26T12:08:51.453208
9999,32,4.0,explicit,2025-07-26T12:08:51.465733
9999,34,4.0,explicit,2025-07-26T12:08:51.471247
9999,79,4.0,explicit,2025-07-26T12:08:51.477613
9999,181,4.0,explicit,2025-07-26T12:08:51.483638
9999,9,5.0,explicit,2025-07-26T12:30:30.500554
9999,11,4.0,explicit,2025-07-26T12:30:30.507100
9999,69,4.0,explicit,2025-07-26T12:30:30.509344
9999,79,3.0,explicit,2025-07-26T12:30:30.511693
9999,181,5.0,explicit,2025-07-26T12:30:30.513729
9999,1,5.0,explicit,2025-07-26T12:31:15.168955
9999,15,5.0,explicit,2025-07-26T12:31:15.177544
9999,34,4.0,explicit,2025-07-26T12:31:15.184469
9999,50,5.0,explicit,2025-07-26T12:31:15.191836
9999,69,3.0,explicit,2025-07-26T12:31:15.197523
